;tagCreatedOn;projectCreatedOn;stars;contributors;NEBTM;NDUCE;NDUSTE;NDUE;NDUCE/NDUE;NDUSTE/NDUE;NDTCE;NDTSTE;NDTE;NDTCE/NDTE;NDTSTE/NDTE;NDTCE/NDUCE;NDTSTE/NDUSTE;NDTSTE_NDUSTE_REAL;log10(stars)
count;42.0;42.0;42.0;42.0;42.0;42.0;42.0;42.0;42.0;42.0;42.0;42.0;42.0;7.0;7.0;12.0;12.0;42.0;42.0
mean;2017.1667;2015.1667;770.3095;6.881;1.6905;1.4048;15.0952;16.5;0.0393;0.9607;0.0714;0.3333;0.4048;0.1667;0.8333;0.1278;0.0352;0.0256;2.3555
std;1.5128;2.0111;1855.2811;11.6309;5.087;3.306;12.3166;14.8607;0.073;0.073;0.2607;0.9283;1.1056;0.2357;0.2357;0.2947;0.0901;0.0794;0.6395
min;2012.0;2010.0;29.0;1.0;0.0;0.0;1.0;1.0;0.0;0.7333;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;1.4624
25%;2016.0;2014.25;72.75;1.0;0.0;0.0;5.25;5.25;0.0;0.9439;0.0;0.0;0.0;0.0;0.6666;0.0;0.0;0.0;1.8609
50%;2017.0;2016.0;180.0;2.0;0.0;0.0;12.0;12.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.2552
75%;2018.0;2016.75;699.0;5.0;0.0;1.0;24.5;24.5;0.0561;1.0;0.0;0.0;0.0;0.3334;1.0;0.05;0.0096;0.0;2.8299
max;2019.0;2018.0;11454.0;50.0;28.0;16.0;51.0;60.0;0.2667;1.0;1.0;5.0;6.0;0.5;1.0;1.0;0.3125;0.4;4.059
