;tagCreatedOn;projectCreatedOn;stars;contributors;NEBTM;NDUCE;NDUSTE;NDUE;NDUCE/NDUE;NDUSTE/NDUE;NDTCE;NDTSTE;NDTE;NDTCE/NDTE;NDTSTE/NDTE;NDTCE/NDUCE;NDTSTE/NDUSTE;NDTSTE_NDUSTE_REAL;log10(stars)
count;202.0;202.0;202.0;202.0;202.0;202.0;202.0;202.0;202.0;202.0;202.0;202.0;202.0;145.0;145.0;163.0;163.0;202.0;202.0
mean;2018.1535;2013.8366;2321.5644;42.604;91.1386;12.3267;34.0792;46.4059;0.1733;0.8267;3.3119;4.0248;7.3366;0.3258;0.6742;0.2871;0.1153;0.1139;3.0843
std;1.4146;2.3811;3604.3849;61.4267;282.6421;25.0496;31.0325;50.767;0.1562;0.1562;9.6906;5.9496;13.8044;0.3073;0.3073;0.3226;0.1267;0.1436;0.4707
min;2011.0;2009.0;28.0;1.0;0.0;0.0;1.0;1.0;0.0;0.1128;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4472
25%;2018.0;2012.0;508.0;8.25;0.0;1.0;15.25;18.0;0.0455;0.7324;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;2.7059
50%;2019.0;2014.0;1091.0;21.0;7.0;4.0;27.0;34.0;0.1482;0.8518;0.0;2.0;2.0;0.3043;0.6957;0.2;0.0769;0.0714;3.0378
75%;2019.0;2016.0;2368.75;48.0;42.5;11.0;42.75;54.5;0.2676;0.9545;3.0;5.0;7.0;0.5;1.0;0.5;0.1724;0.1724;3.3742
max;2019.0;2019.0;29258.0;359.0;2164.0;228.0;317.0;460.0;0.8872;1.0;104.0;34.0;109.0;1.0;1.0;1.0;0.7;1.0;4.4662
