;tagCreatedOn;projectCreatedOn;stars;contributors;NEBTM;NDUCE;NDUSTE;NDUE;NDUCE/NDUE;NDUSTE/NDUE;NDTCE;NDTSTE;NDTE;NDTCE/NDTE;NDTSTE/NDTE;NDTCE/NDUCE;NDTSTE/NDUSTE;NDTSTE_NDUSTE_REAL;log10(stars)
count;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;17.0;17.0;30.0;30.0;50.0;50.0
mean;2017.72;2015.68;1681.02;21.84;39.7;8.4;23.16;31.56;0.1201;0.8799;1.22;2.98;4.2;0.2238;0.7762;0.1033;0.0935;0.1043;2.8137
std;1.3099;2.3599;2483.8516;48.3758;134.0477;28.565;30.1915;55.891;0.1433;0.1433;3.8188;7.252;10.608;0.289;0.289;0.2057;0.1412;0.2041;0.6084
min;2013.0;2008.0;76.0;1.0;0.0;0.0;1.0;1.0;0.0;0.454;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8808
25%;2017.0;2015.0;203.0;2.0;0.0;0.0;6.25;7.0;0.0;0.81;0.0;0.0;0.0;0.0;0.6207;0.0;0.0;0.0;2.3075
50%;2018.0;2016.0;593.5;4.0;0.0;1.0;11.0;12.0;0.067;0.933;0.0;0.0;0.0;0.1;0.9;0.0;0.0;0.0;2.7734
75%;2019.0;2017.0;1460.5;13.75;4.5;3.75;28.25;32.0;0.19;1.0;0.0;2.0;2.0;0.3793;1.0;0.0977;0.2094;0.1691;3.1643
max;2019.0;2019.0;10218.0;200.0;806.0;184.0;153.0;337.0;0.546;1.0;22.0;36.0;58.0;1.0;1.0;0.6667;0.5556;1.0;4.0094
