;tagCreatedOn;projectCreatedOn;stars;contributors;NEBTM;NDUCE;NDUSTE;NDUE;NDUCE/NDUE;NDUSTE/NDUE;NDTCE;NDTSTE;NDTE;NDTCE/NDTE;NDTSTE/NDTE;NDTCE/NDUCE;NDTSTE/NDUSTE;NDTSTE_NDUSTE_REAL;log10(stars)
count;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;29.0;29.0;31.0;31.0;34.0;34.0
mean;2018.4118;2012.7941;2435.8529;67.3824;107.4706;14.6471;41.5588;56.2059;0.1791;0.8209;4.1765;6.3529;10.5294;0.2688;0.7312;0.3416;0.1731;0.1934;3.2937
std;1.2581;2.2801;2091.6184;85.9954;264.7546;27.5834;52.9438;78.9176;0.1308;0.1308;9.6843;7.16;15.785;0.2224;0.2224;0.3158;0.1532;0.2063;0.2609
min;2014.0;2009.0;942.0;1.0;0.0;0.0;1.0;1.0;0.0;0.4248;0.0;0.0;0.0;0.0;0.2222;0.0;0.0;0.0;2.9741
25%;2018.0;2011.0;1274.5;21.0;5.0;2.0;19.0;21.5;0.092;0.7537;0.0;1.0;1.25;0.0;0.6;0.0;0.0651;0.062;3.1053
50%;2019.0;2012.0;1730.5;34.0;21.0;4.5;30.5;34.5;0.1703;0.8297;1.0;4.5;5.5;0.2727;0.7273;0.3333;0.1538;0.155;3.2382
75%;2019.0;2014.75;2731.0;73.75;105.5;14.0;46.75;64.25;0.2463;0.908;4.75;7.75;11.0;0.4;1.0;0.5504;0.2476;0.2503;3.4358
max;2019.0;2018.0;11207.0;346.0;1519.0;143.0;317.0;460.0;0.5752;1.0;56.0;30.0;86.0;0.7778;1.0;1.0;0.7;1.0;4.0495
