;tagCreatedOn;projectCreatedOn;stars;contributors;NEBTM;NDUCE;NDUSTE;NDUE;NDUCE/NDUE;NDUSTE/NDUE;NDTCE;NDTSTE;NDTE;NDTCE/NDTE;NDTSTE/NDTE;NDTCE/NDUCE;NDTSTE/NDUSTE;NDTSTE_NDUSTE_REAL;log10(stars)
count;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;18.0;18.0;18.0;18.0;22.0;22.0
mean;2018.6364;2012.4091;7040.0909;148.4091;362.5;22.1818;46.0;68.1818;0.2137;0.7863;10.7727;10.0455;20.8182;0.3674;0.6326;0.4236;0.2146;0.1952;3.4089
std;0.9535;2.0391;10926.4236;144.4885;598.0708;42.6823;39.1687;78.9156;0.1519;0.1519;25.1906;11.8059;35.3468;0.3059;0.3059;0.2961;0.1637;0.1606;0.651
min;2015.0;2009.0;198.0;2.0;0.0;0.0;4.0;4.0;0.0;0.4545;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2967
25%;2019.0;2011.25;968.5;36.0;10.25;2.5;25.0;31.25;0.0987;0.6762;0.0;1.0;2.25;0.096;0.3859;0.2152;0.0596;0.0388;2.9855
50%;2019.0;2012.0;1847.0;98.0;79.5;11.0;35.0;46.0;0.2353;0.7647;2.0;7.5;9.5;0.3452;0.6548;0.5;0.259;0.2345;3.2641
75%;2019.0;2013.75;8311.0;266.5;410.5;25.25;51.0;75.5;0.3238;0.9013;7.5;13.75;19.75;0.614;0.904;0.5921;0.2946;0.2837;3.9192
max;2019.0;2018.0;42047.0;393.0;2329.0;204.0;170.0;374.0;0.5455;1.0;116.0;44.0;160.0;1.0;1.0;1.0;0.5714;0.5714;4.6237
