;tagCreatedOn;projectCreatedOn;stars;contributors;NEBTM;NDUCE;NDUSTE;NDUE;NDUCE/NDUE;NDUSTE/NDUE;NDTCE;NDTSTE;NDTE;NDTCE/NDTE;NDTSTE/NDTE;NDTCE/NDUCE;NDTSTE/NDUSTE;NDTSTE_NDUSTE_REAL;log10(stars)
count;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;24.0;24.0;24.0;24.0;60.0;60.0
mean;2017.65;2015.0;5026.9;27.25;11.2167;2.0167;12.1667;14.1833;0.0643;0.9357;0.3333;1.45;1.7833;0.1313;0.8687;0.1459;0.122;0.0975;3.5508
std;1.5385;1.5404;5631.4034;36.9152;28.2411;5.8671;13.8566;19.3141;0.0911;0.0911;1.0683;2.7459;3.518;0.2368;0.2368;0.262;0.1489;0.1572;0.3266
min;2014.0;2011.0;913.0;1.0;0.0;0.0;1.0;1.0;0.0;0.6769;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.9605
25%;2017.0;2014.0;2301.25;6.75;0.0;0.0;4.0;4.75;0.0;0.8818;0.0;0.0;0.0;0.0;0.825;0.0;0.0;0.0;3.362
50%;2018.0;2015.0;2890.0;13.0;0.0;0.0;8.0;9.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0909;0.0;3.4605
75%;2019.0;2016.0;5286.0;32.25;6.75;2.0;15.0;17.0;0.1182;1.0;0.0;2.0;2.0;0.175;1.0;0.1864;0.2021;0.175;3.7231
max;2019.0;2018.0;28578.0;166.0;144.0;42.0;88.0;130.0;0.3231;1.0;6.0;13.0;14.0;1.0;1.0;1.0;0.5333;0.75;4.456
