;tagCreatedOn;projectCreatedOn;stars;contributors;NEBTM;NDUCE;NDUSTE;NDUE;NDUCE/NDUE;NDUSTE/NDUE;NDTCE;NDTSTE;NDTE;NDTCE/NDTE;NDTSTE/NDTE;NDTCE/NDUCE;NDTSTE/NDUSTE;NDTSTE_NDUSTE_REAL;log10(stars)
count;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;56.0;56.0;68.0;68.0;78.0;78.0
mean;2018.3205;2013.8462;2920.8333;43.5385;119.1538;15.359;35.5641;50.9231;0.2212;0.7788;4.0256;4.8846;8.9103;0.3544;0.6456;0.2618;0.1209;0.1184;3.2178
std;1.2006;2.4499;4631.8606;57.1275;330.3467;22.9409;25.6655;46.6835;0.1625;0.1625;7.53;7.0287;13.9444;0.2798;0.2798;0.2769;0.1317;0.1319;0.4099
min;2013.0;2009.0;222.0;1.0;0.0;0.0;2.0;3.0;0.0;0.3333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.3464
25%;2018.0;2012.0;780.75;10.0;1.0;2.0;19.0;22.25;0.0671;0.6404;0.0;0.0;0.0;0.0;0.4601;0.0;0.0;0.0;2.8925
50%;2019.0;2014.0;1347.0;24.0;9.5;5.0;29.0;37.0;0.1898;0.8102;1.0;2.0;3.0;0.386;0.614;0.2084;0.079;0.0769;3.1294
75%;2019.0;2016.0;2708.0;58.75;64.75;16.75;45.5;57.25;0.3596;0.9329;4.0;6.0;10.75;0.5399;1.0;0.4498;0.1667;0.1667;3.4321
max;2019.0;2019.0;29258.0;352.0;2111.0;138.0;133.0;252.0;0.6667;1.0;34.0;34.0;65.0;1.0;1.0;1.0;0.5312;0.5312;4.4662
