;tagCreatedOn;projectCreatedOn;stars;contributors;NEBTM;NDUCE;NDUSTE;NDUE;NDUCE/NDUE;NDUSTE/NDUE;NDTCE;NDTSTE;NDTE;NDTCE/NDTE;NDTSTE/NDTE;NDTCE/NDUCE;NDTSTE/NDUSTE;NDTSTE_NDUSTE_REAL;log10(stars)
count;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;5.0;5.0;6.0;6.0;6.0;6.0
mean;2018.3333;2014.1667;2747.3333;39.1667;20.1667;8.3333;30.6667;39.0;0.1988;0.8012;1.6667;1.6667;3.3333;0.5077;0.4923;0.2639;0.0382;0.0382;3.1902
std;0.8165;2.137;2357.3024;47.1526;41.1554;10.4051;28.0119;37.6829;0.1135;0.1135;2.7325;2.4221;4.8442;0.5003;0.5003;0.2907;0.0649;0.0649;0.6107
min;2017.0;2011.0;211.0;2.0;0.0;1.0;7.0;11.0;0.0698;0.6364;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.3243
25%;2018.0;2013.25;903.75;9.0;2.0;2.25;10.25;12.0;0.1042;0.743;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.7488
50%;2018.5;2014.0;2958.5;13.0;4.0;3.5;23.5;27.5;0.2084;0.7916;0.5;0.5;1.5;0.5385;0.4615;0.25;0.0125;0.0125;3.468
75%;2019.0;2015.5;3403.75;72.5;6.75;10.0;39.0;46.75;0.257;0.8958;1.75;2.5;2.75;1.0;1.0;0.5;0.0344;0.0344;3.5319
max;2019.0;2017.0;6585.0;107.0;104.0;28.0;80.0;108.0;0.3636;0.9302;7.0;6.0;13.0;1.0;1.0;0.5833;0.1667;0.1667;3.8186
