;tagCreatedOn;projectCreatedOn;stars;contributors;NEBTM;NDUCE;NDUSTE;NDUE;NDUCE/NDUE;NDUSTE/NDUE;NDTCE;NDTSTE;NDTE;NDTCE/NDTE;NDTSTE/NDTE;NDTCE/NDUCE;NDTSTE/NDUSTE;NDTSTE_NDUSTE_REAL;log10(stars)
count;152.0;152.0;152.0;152.0;152.0;152.0;152.0;152.0;152.0;152.0;152.0;152.0;152.0;48.0;48.0;66.0;66.0;152.0;152.0
mean;2017.5395;2015.2697;2750.1184;19.8421;17.9539;3.9474;16.5921;20.5395;0.0758;0.9242;0.5526;1.6447;2.1974;0.1692;0.8308;0.1233;0.0933;0.0799;2.978
std;1.4688;1.9799;4342.3667;37.3959;79.9861;17.06;20.8493;35.78;0.1115;0.1115;2.3297;4.6184;6.6313;0.2545;0.2545;0.2413;0.138;0.1613;0.7211
min;2012.0;2008.0;29.0;1.0;0.0;0.0;1.0;1.0;0.0;0.454;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4624
25%;2017.0;2014.0;209.0;2.0;0.0;0.0;5.0;6.0;0.0;0.8736;0.0;0.0;0.0;0.0;0.6613;0.0;0.0;0.0;2.3201
50%;2018.0;2016.0;1459.5;6.0;0.0;0.0;9.0;10.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.1642
75%;2019.0;2017.0;3210.25;17.25;3.0;2.0;20.0;23.25;0.1264;1.0;0.0;1.0;1.25;0.3387;1.0;0.1216;0.1963;0.1;3.5065
max;2019.0;2019.0;28578.0;200.0;806.0;184.0;153.0;337.0;0.546;1.0;22.0;36.0;58.0;1.0;1.0;1.0;0.5556;1.0;4.456
