;tagCreatedOn;projectCreatedOn;stars;contributors;NEBTM;NDUCE;NDUSTE;NDUE;NDUCE/NDUE;NDUSTE/NDUE;NDTCE;NDTSTE;NDTE;NDTCE/NDTE;NDTSTE/NDTE;NDTCE/NDUCE;NDTSTE/NDUSTE;NDTSTE_NDUSTE_REAL;log10(stars)
count;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;60.0;60.0;64.0;64.0;90.0;90.0
mean;2017.9111;2014.2222;1759.0222;32.4333;60.6889;8.8222;29.9667;38.7889;0.1295;0.8705;2.3667;2.4;4.7667;0.3267;0.6733;0.2875;0.0814;0.08;2.8896
std;1.6051;2.2624;2918.431;51.148;241.4238;25.6351;22.9187;38.8924;0.1482;0.1482;11.2524;3.5783;12.5305;0.3629;0.3629;0.3693;0.094;0.1102;0.5089
min;2011.0;2009.0;28.0;1.0;0.0;0.0;3.0;3.0;0.0;0.1128;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4472
25%;2017.0;2013.0;386.75;5.0;0.0;0.0;13.25;14.0;0.0;0.8135;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;2.5874
50%;2019.0;2014.0;499.0;14.0;4.0;2.5;26.0;27.5;0.0886;0.9114;0.0;1.0;1.0;0.2679;0.7322;0.118;0.0385;0.03;2.6981
75%;2019.0;2016.0;1382.0;40.5;22.5;7.75;40.75;47.75;0.1865;1.0;1.0;3.75;4.75;0.5;1.0;0.5;0.157;0.1186;3.1404
max;2019.0;2019.0;16656.0;359.0;2164.0;228.0;135.0;257.0;0.8872;1.0;104.0;17.0;109.0;1.0;1.0;1.0;0.3171;0.6667;4.2216
