;tagCreatedOn;projectCreatedOn;stars;contributors;NEBTM;NDUCE;NDUSTE;NDUE;NDUCE/NDUE;NDUSTE/NDUE;NDTCE;NDTSTE;NDTE;NDTCE/NDTE;NDTSTE/NDTE;NDTCE/NDUCE;NDTSTE/NDUSTE;NDTSTE_NDUSTE_REAL;log10(stars)
count;63.0;63.0;63.0;63.0;63.0;63.0;63.0;63.0;63.0;63.0;63.0;63.0;63.0;52.0;52.0;50.0;50.0;63.0;63.0
mean;2018.2222;2012.9841;6084.0794;99.1746;272.4127;12.3492;33.746;46.0952;0.1615;0.8385;5.1587;7.3016;12.4603;0.3176;0.6824;0.4559;0.2198;0.1932;3.4329
std;1.5181;2.02;9505.9158;114.6921;608.4642;27.742;29.0217;54.1437;0.1425;0.1425;15.4609;8.893;22.6636;0.3028;0.3028;0.3257;0.1917;0.1858;0.5418
min;2012.0;2009.0;198.0;2.0;0.0;0.0;2.0;2.0;0.0;0.4545;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2967
25%;2018.0;2012.0;1194.5;17.0;4.0;1.0;16.5;19.0;0.0513;0.7475;0.0;1.0;1.0;0.0838;0.4904;0.1864;0.051;0.0298;3.0772
50%;2019.0;2013.0;2390.0;53.0;40.0;3.0;28.0;36.0;0.1333;0.8667;1.0;4.0;7.0;0.225;0.775;0.5;0.178;0.1667;3.3784
75%;2019.0;2014.0;5427.0;123.0;194.5;12.5;43.0;51.5;0.2524;0.9487;4.0;11.5;15.0;0.5096;0.9162;0.6539;0.3112;0.2818;3.7345
max;2019.0;2018.0;42047.0;400.0;3462.0;204.0;170.0;374.0;0.5455;1.0;116.0;44.0;160.0;1.0;1.0;1.0;0.7895;0.7895;4.6237
