;tagCreatedOn;tagCoverage;projectCreatedOn;stars;contributors;NEBTM/NTM;NTSSTPE;NTSCE;NTSNIE;NTS;NTSSTPE/NTS;NTSCE/NTS;NTSNIE/NTS;NCTSSTPE;NCTSCE;NCTNIE;NCTS;NCTSSTPE/NCTS;NCTNIE/NCTS;NCTSCE/NCTS;NCTS/NTS;NCTSCE/NTSCE;NCTSSTPE/NTSSTPE;NCTSSTPE/NTSSTPE_REAL;NDTE/NDUE
count;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;1.0;1.0;3.0;3.0
mean;2017.0;0.7571;2015.0;6656.0;19.0;0.1014;4.6667;0.3333;0.0;5.0;0.9583;0.0417;0.0;2.6667;0.0;0.0;2.6667;1.0;0.0;0.0;0.5694;0.0;0.4286;0.5873;0.2698
std;2.0;0.1258;1.0;3888.3952;12.2882;0.1032;2.0817;0.5774;0.0;2.6458;0.0722;0.0722;0.0;1.5275;0.0;0.0;1.5275;0.0;0.0;0.0;0.3735;NaN;NaN;0.3606;0.1099
min;2015.0;0.6339;2014.0;2215.0;10.0;0.02;3.0;0.0;0.0;3.0;0.875;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.3333;0.0;0.4286;0.3333;0.1429
25%;2016.0;0.693;2014.5;5259.5;12.0;0.0434;3.5;0.0;0.0;3.5;0.9375;0.0;0.0;2.0;0.0;0.0;2.0;1.0;0.0;0.0;0.3541;0.0;0.4286;0.381;0.2381
50%;2017.0;0.752;2015.0;8304.0;14.0;0.0667;4.0;0.0;0.0;4.0;1.0;0.0;0.0;3.0;0.0;0.0;3.0;1.0;0.0;0.0;0.375;0.0;0.4286;0.4286;0.3333
75%;2018.0;0.8186;2015.5;8876.5;23.5;0.142;5.5;0.5;0.0;6.0;1.0;0.0625;0.0;3.5;0.0;0.0;3.5;1.0;0.0;0.0;0.6875;0.0;0.4286;0.7143;0.3333
max;2019.0;0.8853;2016.0;9449.0;33.0;0.2174;7.0;1.0;0.0;8.0;1.0;0.125;0.0;4.0;0.0;0.0;4.0;1.0;0.0;0.0;1.0;0.0;0.4286;1.0;0.3333
