;tagCreatedOn;tagCoverage;projectCreatedOn;stars;contributors;NEBTM/NTM;NTSSTPE;NTSCE;NTSNIE;NTS;NTSSTPE/NTS;NTSCE/NTS;NTSNIE/NTS;NCTSSTPE;NCTSCE;NCTNIE;NCTS;NCTSSTPE/NCTS;NCTNIE/NCTS;NCTSCE/NCTS;NCTS/NTS;NCTSCE/NTSCE;NCTSSTPE/NTSSTPE;NCTSSTPE/NTSSTPE_REAL;NDTE/NDUE
count;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
mean;2019.0;0.8658;2012.0;9436.0;163.0;0.2917;49.0;86.0;110.0;245.0;0.2;0.351;0.449;7.0;43.0;99.0;149.0;0.047;0.2886;0.6644;0.6082;0.5;0.1429;0.1429;0.5789
std;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
min;2019.0;0.8658;2012.0;9436.0;163.0;0.2917;49.0;86.0;110.0;245.0;0.2;0.351;0.449;7.0;43.0;99.0;149.0;0.047;0.2886;0.6644;0.6082;0.5;0.1429;0.1429;0.5789
25%;2019.0;0.8658;2012.0;9436.0;163.0;0.2917;49.0;86.0;110.0;245.0;0.2;0.351;0.449;7.0;43.0;99.0;149.0;0.047;0.2886;0.6644;0.6082;0.5;0.1429;0.1429;0.5789
50%;2019.0;0.8658;2012.0;9436.0;163.0;0.2917;49.0;86.0;110.0;245.0;0.2;0.351;0.449;7.0;43.0;99.0;149.0;0.047;0.2886;0.6644;0.6082;0.5;0.1429;0.1429;0.5789
75%;2019.0;0.8658;2012.0;9436.0;163.0;0.2917;49.0;86.0;110.0;245.0;0.2;0.351;0.449;7.0;43.0;99.0;149.0;0.047;0.2886;0.6644;0.6082;0.5;0.1429;0.1429;0.5789
max;2019.0;0.8658;2012.0;9436.0;163.0;0.2917;49.0;86.0;110.0;245.0;0.2;0.351;0.449;7.0;43.0;99.0;149.0;0.047;0.2886;0.6644;0.6082;0.5;0.1429;0.1429;0.5789
