;tagCreatedOn;tagCoverage;projectCreatedOn;stars;contributors;NEBTM/NTM;NTSSTPE;NTSCE;NTSNIE;NTS;NTSSTPE/NTS;NTSCE/NTS;NTSNIE/NTS;NCTSSTPE;NCTSCE;NCTNIE;NCTS;NCTSSTPE/NCTS;NCTNIE/NCTS;NCTSCE/NCTS;NCTS/NTS;NCTSCE/NTSCE;NCTSSTPE/NTSSTPE;NCTSSTPE/NTSSTPE_REAL;NDTE/NDUE
count;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;2.0;5.0;5.0
mean;2017.2;0.8116;2015.2;4050.0;12.0;0.095;11.6;7.0;0.6;19.2;0.8496;0.1329;0.0175;3.6;5.8;0.0;9.4;0.8432;0.1568;0.0;0.4813;0.4264;0.3624;0.4352;0.3265
std;1.4832;0.126;0.8367;4504.9849;12.9422;0.0852;10.2372;15.0997;0.8944;25.1933;0.2409;0.2337;0.0254;2.7019;12.9692;0.0;15.4693;0.3505;0.3505;0.0;0.3356;0.6031;0.0936;0.3353;0.1102
min;2015.0;0.6339;2014.0;86.0;1.0;0.02;3.0;0.0;0.0;3.0;0.4286;0.0;0.0;1.0;0.0;0.0;1.0;0.2162;0.0;0.0;0.1111;0.0;0.2963;0.1176;0.1429
25%;2017.0;0.752;2015.0;196.0;2.0;0.0244;4.0;0.0;0.0;4.0;0.875;0.0;0.0;2.0;0.0;0.0;2.0;1.0;0.0;0.0;0.3333;0.2132;0.3294;0.2963;0.3333
50%;2017.0;0.824;2015.0;2215.0;10.0;0.0667;7.0;0.0;0.0;8.0;0.9444;0.0;0.0;3.0;0.0;0.0;3.0;1.0;0.0;0.0;0.375;0.4264;0.3624;0.3333;0.3333
75%;2018.0;0.8853;2016.0;8304.0;14.0;0.1467;17.0;1.0;1.0;18.0;1.0;0.125;0.0317;4.0;0.0;0.0;4.0;1.0;0.0;0.0;0.5873;0.6397;0.3955;0.4286;0.4
max;2019.0;0.9626;2016.0;9449.0;33.0;0.2174;27.0;34.0;2.0;63.0;1.0;0.5397;0.0556;8.0;29.0;0.0;37.0;1.0;0.7838;0.0;1.0;0.8529;0.4286;1.0;0.4231
