;tagCreatedOn;tagCoverage;projectCreatedOn;stars;contributors;NEBTM/NTM;NTSSTPE;NTSCE;NTSNIE;NTS;NTSSTPE/NTS;NTSCE/NTS;NTSNIE/NTS;NCTSSTPE;NCTSCE;NCTNIE;NCTS;NCTSSTPE/NCTS;NCTNIE/NCTS;NCTSCE/NCTS;NCTS/NTS;NCTSCE/NTSCE;NCTSSTPE/NTSSTPE;NCTSSTPE/NTSSTPE_REAL;NDTE/NDUE
count;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
mean;2017.0;0.9626;2015.0;196.0;2.0;0.1467;27.0;34.0;2.0;63.0;0.4286;0.5397;0.0317;8.0;29.0;0.0;37.0;0.2162;0.7838;0.0;0.5873;0.8529;0.2963;0.2963;0.4231
std;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
min;2017.0;0.9626;2015.0;196.0;2.0;0.1467;27.0;34.0;2.0;63.0;0.4286;0.5397;0.0317;8.0;29.0;0.0;37.0;0.2162;0.7838;0.0;0.5873;0.8529;0.2963;0.2963;0.4231
25%;2017.0;0.9626;2015.0;196.0;2.0;0.1467;27.0;34.0;2.0;63.0;0.4286;0.5397;0.0317;8.0;29.0;0.0;37.0;0.2162;0.7838;0.0;0.5873;0.8529;0.2963;0.2963;0.4231
50%;2017.0;0.9626;2015.0;196.0;2.0;0.1467;27.0;34.0;2.0;63.0;0.4286;0.5397;0.0317;8.0;29.0;0.0;37.0;0.2162;0.7838;0.0;0.5873;0.8529;0.2963;0.2963;0.4231
75%;2017.0;0.9626;2015.0;196.0;2.0;0.1467;27.0;34.0;2.0;63.0;0.4286;0.5397;0.0317;8.0;29.0;0.0;37.0;0.2162;0.7838;0.0;0.5873;0.8529;0.2963;0.2963;0.4231
max;2017.0;0.9626;2015.0;196.0;2.0;0.1467;27.0;34.0;2.0;63.0;0.4286;0.5397;0.0317;8.0;29.0;0.0;37.0;0.2162;0.7838;0.0;0.5873;0.8529;0.2963;0.2963;0.4231
