;tagCreatedOn;tagCoverage;projectCreatedOn;stars;contributors;NEBTM/NTM;NTSSTPE;NTSCE;NTSNIE;NTS;NTSSTPE/NTS;NTSCE/NTS;NTSNIE/NTS;NCTSSTPE;NCTSCE;NCTNIE;NCTS;NCTSSTPE/NCTS;NCTNIE/NCTS;NCTSCE/NCTS;NCTS/NTS;NCTSCE/NTSCE;NCTSSTPE/NTSSTPE;NCTSSTPE/NTSSTPE_REAL;NDTE/NDUE
count;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0
mean;2018.875;0.7796;2013.5;11048.25;87.625;0.1316;137.125;23.0;78.0;238.125;0.623;0.1236;0.2533;59.5;8.375;52.875;120.75;0.461;0.2213;0.3177;0.4302;0.4814;0.3144;0.3144;0.3614
std;0.3536;0.2236;1.5119;14065.0451;80.0285;0.1043;84.5854;33.8062;76.0301;142.2467;0.2398;0.1651;0.1776;83.0215;14.2622;50.0241;118.6095;0.3505;0.3407;0.307;0.3634;0.3703;0.394;0.394;0.3022
min;2018.0;0.2977;2011.0;211.0;2.0;0.0059;13.0;1.0;0.0;22.0;0.2;0.0091;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.016;0.0;0.0;0.0;0.0233
25%;2019.0;0.7235;2012.75;2784.0;23.75;0.0712;66.25;2.75;25.0;160.25;0.5337;0.0121;0.1032;5.75;1.75;0.75;9.25;0.0944;0.0092;0.0682;0.1707;0.2684;0.0605;0.0605;0.125
50%;2019.0;0.8233;2014.0;5001.5;80.5;0.109;156.0;7.5;71.5;265.0;0.6586;0.0263;0.2686;11.5;3.5;62.0;109.5;0.6431;0.0658;0.2894;0.3016;0.4722;0.1409;0.1409;0.2835
75%;2019.0;0.9426;2014.0;12992.75;113.5;0.1624;190.75;23.75;102.5;296.5;0.7805;0.1958;0.3754;93.0;6.0;99.0;180.5;0.6672;0.2998;0.4361;0.6886;0.625;0.4269;0.4269;0.6092
max;2019.0;0.9816;2016.0;40557.0;237.0;0.2917;246.0;86.0;233.0;472.0;0.9;0.4091;0.4936;204.0;43.0;100.0;305.0;0.9091;1.0;0.8475;0.9649;1.0;0.9721;0.9721;0.8
