;tagCreatedOn;tagCoverage;projectCreatedOn;stars;contributors;NEBTM/NTM;NTSSTPE;NTSCE;NTSNIE;NTS;NTSSTPE/NTS;NTSCE/NTS;NTSNIE/NTS;NCTSSTPE;NCTSCE;NCTNIE;NCTS;NCTSSTPE/NCTS;NCTNIE/NCTS;NCTSCE/NCTS;NCTS/NTS;NCTSCE/NTSCE;NCTSSTPE/NTSSTPE;NCTSSTPE/NTSSTPE_REAL;NDTE/NDUE
count;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0
mean;2018.0;0.824;2016.0;86.0;1.0;0.0244;17.0;0.0;1.0;18.0;0.9444;0.0;0.0556;2.0;0.0;0.0;2.0;1.0;0.0;0.0;0.1111;NaN;NaN;0.1176;0.4
std;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
min;2018.0;0.824;2016.0;86.0;1.0;0.0244;17.0;0.0;1.0;18.0;0.9444;0.0;0.0556;2.0;0.0;0.0;2.0;1.0;0.0;0.0;0.1111;NaN;NaN;0.1176;0.4
25%;2018.0;0.824;2016.0;86.0;1.0;0.0244;17.0;0.0;1.0;18.0;0.9444;0.0;0.0556;2.0;0.0;0.0;2.0;1.0;0.0;0.0;0.1111;NaN;NaN;0.1176;0.4
50%;2018.0;0.824;2016.0;86.0;1.0;0.0244;17.0;0.0;1.0;18.0;0.9444;0.0;0.0556;2.0;0.0;0.0;2.0;1.0;0.0;0.0;0.1111;NaN;NaN;0.1176;0.4
75%;2018.0;0.824;2016.0;86.0;1.0;0.0244;17.0;0.0;1.0;18.0;0.9444;0.0;0.0556;2.0;0.0;0.0;2.0;1.0;0.0;0.0;0.1111;NaN;NaN;0.1176;0.4
max;2018.0;0.824;2016.0;86.0;1.0;0.0244;17.0;0.0;1.0;18.0;0.9444;0.0;0.0556;2.0;0.0;0.0;2.0;1.0;0.0;0.0;0.1111;NaN;NaN;0.1176;0.4
