;tagCreatedOn;tagCoverage;projectCreatedOn;stars;contributors;NEBTM/NTM;NTSSTPE;NTSCE;NTSNIE;NTS;NTSSTPE/NTS;NTSCE/NTS;NTSNIE/NTS;NCTSSTPE;NCTSCE;NCTNIE;NCTS;NCTSSTPE/NCTS;NCTNIE/NCTS;NCTSCE/NCTS;NCTS/NTS;NCTSCE/NTSCE;NCTSSTPE/NTSSTPE;NCTSSTPE/NTSSTPE_REAL;NDTE/NDUE
count;39.0;39.0;39.0;39.0;39.0;39.0;39.0;39.0;39.0;39.0;39.0;39.0;39.0;39.0;39.0;39.0;39.0;39.0;39.0;39.0;39.0;31.0;31.0;39.0;39.0
mean;2018.4103;0.6904;2014.4872;4248.5385;50.5128;0.1051;80.1795;82.2308;27.8718;190.2821;0.6025;0.2823;0.1152;20.4615;12.2821;13.8205;46.5641;0.5768;0.3116;0.1116;0.2928;0.3336;0.2539;0.2636;0.2011
std;1.0187;0.2348;1.9584;7392.5102;85.9335;0.1641;85.052;160.6325;47.8546;238.4021;0.2867;0.2773;0.1432;43.0983;25.9513;30.8365;74.6137;0.3677;0.3523;0.1963;0.2799;0.3482;0.2952;0.2928;0.1899
min;2015.0;0.1246;2010.0;86.0;1.0;0.0;3.0;0.0;0.0;3.0;0.0415;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0094;0.0;0.0;0.0;0.0
25%;2018.0;0.5936;2014.0;572.5;8.0;0.0254;19.0;1.0;0.5;26.0;0.4052;0.0116;0.001;2.0;0.0;0.0;4.0;0.2081;0.0;0.0;0.0963;0.0646;0.044;0.0528;0.0759
50%;2019.0;0.7543;2014.0;1843.0;15.0;0.0667;44.0;12.0;7.0;105.0;0.569;0.2667;0.0556;5.0;3.0;0.0;8.0;0.6429;0.1667;0.0;0.202;0.2;0.1477;0.1786;0.1579
75%;2019.0;0.8542;2016.0;4978.0;45.5;0.1097;123.0;87.0;32.5;244.0;0.8875;0.4904;0.1946;13.5;9.5;3.0;53.5;0.9808;0.4972;0.1526;0.3665;0.5;0.3369;0.3333;0.2796
max;2019.0;0.9816;2018.0;40557.0;359.0;1.0;357.0;761.0;233.0;1179.0;1.0;0.9564;0.4936;204.0;112.0;100.0;305.0;1.0;1.0;0.8475;1.0;1.0;1.0;1.0;0.8
