;tagCreatedOn;tagCoverage;projectCreatedOn;stars;contributors;NEBTM/NTM;NTSSTPE;NTSCE;NTSNIE;NTS;NTSSTPE/NTS;NTSCE/NTS;NTSNIE/NTS;NCTSSTPE;NCTSCE;NCTNIE;NCTS;NCTSSTPE/NCTS;NCTNIE/NCTS;NCTSCE/NCTS;NCTS/NTS;NCTSCE/NTSCE;NCTSSTPE/NTSSTPE;NCTSSTPE/NTSSTPE_REAL;NDTE/NDUE
count;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;26.0;21.0;21.0;26.0;26.0
mean;2018.5;0.6397;2014.6538;2194.5;46.5;0.099;75.8462;114.9231;17.6923;208.4615;0.5486;0.3599;0.0915;11.6923;14.7308;4.4615;30.8846;0.5612;0.3691;0.0696;0.2143;0.2684;0.2206;0.215;0.1276
std;0.9055;0.2431;2.153;2288.495;93.0072;0.1909;83.5314;188.4083;28.3122;271.4645;0.2902;0.2859;0.1167;16.3628;30.3362;11.2827;46.8157;0.3643;0.3545;0.1195;0.211;0.3187;0.2686;0.2442;0.1015
min;2016.0;0.1246;2010.0;292.0;2.0;0.0;4.0;0.0;0.0;4.0;0.0415;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0094;0.0;0.0;0.0;0.0
25%;2018.0;0.4707;2014.0;522.25;7.5;0.0245;22.25;3.25;1.0;31.0;0.3278;0.0516;0.0041;1.25;1.0;0.0;4.25;0.2265;0.0481;0.0;0.0458;0.0556;0.0435;0.0458;0.0372
50%;2019.0;0.725;2014.5;1373.0;15.0;0.0623;43.5;44.0;8.0;131.5;0.496;0.4066;0.0508;5.0;3.5;0.0;8.0;0.6254;0.281;0.0;0.1567;0.1818;0.1477;0.1632;0.1312
75%;2019.0;0.8152;2016.0;2757.5;28.5;0.094;109.25;133.0;15.5;235.0;0.7093;0.5369;0.1203;13.75;10.0;2.75;26.0;0.9327;0.5775;0.0817;0.2956;0.3333;0.2273;0.2443;0.2
max;2019.0;0.962;2018.0;7546.0;359.0;1.0;357.0;761.0;127.0;1179.0;1.0;0.9564;0.4706;70.0;112.0;49.0;184.0;1.0;1.0;0.405;0.8667;1.0;1.0;1.0;0.3529
