;tagCreatedOn;tagCoverage;projectCreatedOn;stars;contributors;NEBTM/NTM;NTSSTPE;NTSCE;NTSNIE;NTS;NTSSTPE/NTS;NTSCE/NTS;NTSNIE/NTS;NCTSSTPE;NCTSCE;NCTNIE;NCTS;NCTSSTPE/NCTS;NCTNIE/NCTS;NCTSCE/NCTS;NCTS/NTS;NCTSCE/NTSCE;NCTSSTPE/NTSSTPE;NCTSSTPE/NTSSTPE_REAL;NDTE/NDUE
count;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;9.0;9.0;12.0;12.0
mean;2018.3333;0.6957;2014.3333;1596.25;46.25;0.0702;88.3333;144.9167;13.25;246.5;0.629;0.3272;0.0438;13.1667;21.25;1.0833;35.5;0.6417;0.3195;0.0388;0.2472;0.3766;0.2445;0.2308;0.1557
std;0.9847;0.1819;1.6143;2557.8201;102.4039;0.0591;112.122;248.5103;20.4545;376.8613;0.328;0.3084;0.0619;19.2959;42.3902;1.379;57.0717;0.3401;0.3208;0.0742;0.2352;0.3968;0.258;0.2227;0.0987
min;2016.0;0.3071;2012.0;292.0;2.0;0.0;4.0;0.0;0.0;4.0;0.1086;0.0;0.0;1.0;0.0;0.0;1.0;0.0417;0.0;0.0;0.0094;0.0056;0.0115;0.0115;0.0
25%;2018.0;0.611;2014.0;372.25;3.0;0.0199;22.75;0.75;0.0;27.5;0.4028;0.025;0.0;3.75;0.75;0.0;5.0;0.379;0.0289;0.0;0.1331;0.0769;0.1176;0.1298;0.0796
50%;2019.0;0.7416;2014.0;470.0;9.0;0.0635;28.5;12.5;5.5;51.0;0.5329;0.3255;0.0413;5.0;2.0;0.0;8.0;0.7182;0.2364;0.0;0.1648;0.1818;0.1961;0.1874;0.1623
75%;2019.0;0.8137;2015.0;810.0;18.75;0.0951;121.0;150.0;13.25;239.25;0.9658;0.5828;0.0532;14.75;8.5;2.25;28.5;0.9711;0.4841;0.0396;0.2527;0.6022;0.2273;0.233;0.2153
max;2019.0;0.962;2018.0;7546.0;359.0;0.1954;357.0;761.0;61.0;1179.0;1.0;0.8416;0.2222;70.0;112.0;3.0;184.0;1.0;0.9333;0.25;0.8667;1.0;0.8621;0.8621;0.3529
