;tagCreatedOn;tagCoverage;projectCreatedOn;stars;contributors;NEBTM/NTM;NTSSTPE;NTSCE;NTSNIE;NTS;NTSSTPE/NTS;NTSCE/NTS;NTSNIE/NTS;NCTSSTPE;NCTSCE;NCTNIE;NCTS;NCTSSTPE/NCTS;NCTNIE/NCTS;NCTSCE/NCTS;NCTS/NTS;NCTSCE/NTSCE;NCTSSTPE/NTSSTPE;NCTSSTPE/NTSSTPE_REAL;NDTE/NDUE
count;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0
mean;2018.6667;0.3924;2013.0;3485.3333;140.6667;0.0901;96.3333;182.3333;13.6667;292.3333;0.4709;0.4482;0.0809;16.0;6.6667;5.6667;28.3333;0.5684;0.3507;0.081;0.1609;0.285;0.1531;0.1531;0.1615
std;0.5774;0.4046;2.6458;3358.2204;178.6346;0.0177;69.8307;243.3153;17.7858;168.9388;0.3726;0.4557;0.1169;23.4307;5.7735;9.815;36.2537;0.4563;0.4889;0.1402;0.2443;0.475;0.2002;0.2002;0.1538
min;2018.0;0.1246;2011.0;1526.0;21.0;0.0714;20.0;12.0;1.0;158.0;0.0415;0.0759;0.0021;1.0;0.0;0.0;4.0;0.0909;0.0;0.0;0.0169;0.0;0.0255;0.0255;0.0256
25%;2018.5;0.1596;2011.5;1546.5;38.0;0.0819;66.0;43.0;3.5;197.5;0.352;0.194;0.0137;2.5;5.0;0.0;7.5;0.3526;0.0714;0.0;0.0198;0.0108;0.0378;0.0378;0.078
50%;2019.0;0.1947;2012.0;1567.0;55.0;0.0924;112.0;74.0;6.0;237.0;0.6624;0.3122;0.0253;4.0;10.0;0.0;11.0;0.6143;0.1429;0.0;0.0228;0.0217;0.05;0.05;0.1304
75%;2019.0;0.5262;2014.0;4465.0;200.5;0.0995;134.5;267.5;20.0;359.5;0.6856;0.6343;0.1202;23.5;10.0;8.5;40.5;0.8072;0.526;0.1214;0.2329;0.4275;0.217;0.217;0.2294
max;2019.0;0.8578;2016.0;7363.0;346.0;0.1066;157.0;461.0;34.0;482.0;0.7089;0.9564;0.2152;43.0;10.0;17.0;70.0;1.0;0.9091;0.2429;0.443;0.8333;0.3839;0.3839;0.3284
