;tagCreatedOn;tagCoverage;projectCreatedOn;stars;contributors;NEBTM/NTM;NTSSTPE;NTSCE;NTSNIE;NTS;NTSSTPE/NTS;NTSCE/NTS;NTSNIE/NTS;NCTSSTPE;NCTSCE;NCTNIE;NCTS;NCTSSTPE/NCTS;NCTNIE/NCTS;NCTSCE/NCTS;NCTS/NTS;NCTSCE/NTSCE;NCTSSTPE/NTSSTPE;NCTSSTPE/NTSSTPE_REAL;NDTE/NDUE
count;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0
mean;2018.5;0.4864;2015.0;1760.5;8.0;0.0419;77.0;5.5;22.0;104.5;0.6724;0.2099;0.1176;1.0;2.5;0.0;3.5;0.3334;0.6666;0.0;0.0989;0.4722;0.0071;0.0071;0.0533
std;0.7071;0.2669;1.4142;2191.3239;8.4853;0.0509;90.5097;4.9497;31.1127;116.6726;0.1153;0.2817;0.1664;1.4142;2.1213;0.0;0.7071;0.4714;0.4714;0.0;0.1172;0.0393;0.01;0.01;0.0424
min;2018.0;0.2977;2014.0;211.0;2.0;0.0059;13.0;2.0;0.0;22.0;0.5909;0.0107;0.0;0.0;1.0;0.0;3.0;0.0;0.3333;0.0;0.016;0.4444;0.0;0.0;0.0233
25%;2018.25;0.3921;2014.5;985.75;5.0;0.0239;45.0;3.75;11.0;63.25;0.6317;0.1103;0.0588;0.5;1.75;0.0;3.25;0.1667;0.5;0.0;0.0574;0.4583;0.0036;0.0036;0.0383
50%;2018.5;0.4864;2015.0;1760.5;8.0;0.0419;77.0;5.5;22.0;104.5;0.6724;0.2099;0.1176;1.0;2.5;0.0;3.5;0.3334;0.6666;0.0;0.0989;0.4722;0.0071;0.0071;0.0533
75%;2018.75;0.5808;2015.5;2535.25;11.0;0.0599;109.0;7.25;33.0;145.75;0.7132;0.3095;0.1765;1.5;3.25;0.0;3.75;0.5;0.8333;0.0;0.1404;0.4861;0.0106;0.0106;0.0683
max;2019.0;0.6752;2016.0;3310.0;14.0;0.0779;141.0;9.0;44.0;187.0;0.754;0.4091;0.2353;2.0;4.0;0.0;4.0;0.6667;1.0;0.0;0.1818;0.5;0.0142;0.0142;0.0833
