;tagCreatedOn;tagCoverage;projectCreatedOn;stars;contributors;NEBTM/NTM;NTSSTPE;NTSCE;NTSNIE;NTS;NTSSTPE/NTS;NTSCE/NTS;NTSNIE/NTS;NCTSSTPE;NCTSCE;NCTNIE;NCTS;NCTSSTPE/NCTS;NCTNIE/NCTS;NCTSCE/NCTS;NCTS/NTS;NCTSCE/NTSCE;NCTSSTPE/NTSSTPE;NCTSSTPE/NTSSTPE_REAL;NDTE/NDUE
count;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;9.0;9.0;11.0;11.0
mean;2018.6364;0.6461;2015.4545;2495.0909;21.0909;0.1328;56.6364;63.8182;23.6364;144.0909;0.4821;0.3714;0.1465;8.9091;9.8182;7.8182;26.5455;0.4715;0.4283;0.1002;0.193;0.1546;0.2191;0.2146;0.0877
std;0.9244;0.2378;2.3817;1616.1859;18.3872;0.2914;43.8298;60.4563;37.5906;117.8681;0.2234;0.2333;0.1449;11.5452;14.8447;16.4427;39.8155;0.3825;0.3825;0.1532;0.1896;0.111;0.3185;0.2918;0.0854
min;2016.0;0.2168;2010.0;713.0;3.0;0.0;9.0;0.0;0.0;12.0;0.2284;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0152;0.0067;0.0;0.0;0.0
25%;2019.0;0.4712;2014.5;1531.5;10.0;0.019;25.5;14.0;3.0;46.0;0.3418;0.2408;0.0434;1.0;1.5;0.0;4.0;0.1372;0.1099;0.0;0.0381;0.0737;0.0099;0.0272;0.0
50%;2019.0;0.7212;2016.0;2463.0;16.0;0.0339;44.0;52.0;9.0;105.0;0.4343;0.4348;0.119;4.0;4.0;0.0;8.0;0.45;0.3333;0.0;0.1238;0.1852;0.1477;0.1477;0.0851
75%;2019.0;0.8148;2017.0;2899.0;24.0;0.0676;84.5;106.5;20.5;210.0;0.5492;0.4904;0.198;11.0;8.5;2.5;23.0;0.7564;0.6875;0.1456;0.3202;0.2071;0.2093;0.2713;0.1666
max;2019.0;0.9161;2018.0;6613.0;69.0;1.0;149.0;169.0;127.0;394.0;1.0;0.7614;0.4706;37.0;43.0;49.0;121.0;1.0;1.0;0.405;0.6087;0.3644;1.0;1.0;0.2083
