;tagCreatedOn;projectCreatedOn;projectMonths;stars;contributors;NEBTM;NTM;NEBTM/NTM;NADTE;NDTE;NDUE;NEU;NADTE/NDUE;NDTE/NDUE;log10(NTM);log10(NEU);log10(NEBTM);log10(NTM-NEBTM);NTM-NEBTM;log10(stars)
count;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0
mean;2018.4118;2012.7941;84.8529;2435.8529;67.3824;107.4706;1119.5;0.1031;13.3824;10.5294;56.2059;2052.8529;0.2645;0.218;2.494;2.8139;1.3549;2.4485;1012.0294;3.2937
std;1.2581;2.2801;27.2743;2091.6184;85.9954;264.7546;3309.4013;0.1063;20.2005;15.785;78.9176;4436.9263;0.2444;0.213;0.6825;0.6796;0.8486;0.6767;3051.5142;0.2609
min;2014.0;2009.0;19.0;942.0;1.0;0.0;15.0;0.0;0.0;0.0;1.0;15.0;0.0;0.0;1.2041;1.2041;0.0;1.2304;15.0;2.9741
25%;2018.0;2011.0;60.0;1274.5;21.0;5.0;123.25;0.0266;1.75;1.25;21.5;244.0;0.1021;0.1013;2.0942;2.3872;0.7782;2.0728;116.25;3.1053
50%;2019.0;2012.0;92.0;1730.5;34.0;21.0;362.0;0.0842;7.0;5.5;34.5;566.5;0.2094;0.1754;2.5598;2.754;1.3406;2.5512;354.0;3.2382
75%;2019.0;2014.75;105.75;2731.0;73.75;105.5;1022.25;0.1314;16.5;11.0;64.25;1704.25;0.3958;0.293;3.0099;3.2315;2.0273;2.9418;872.5;3.4358
max;2019.0;2018.0;130.0;11207.0;346.0;1519.0;19556.0;0.4;104.0;86.0;460.0;24957.0;1.0;1.0;4.2913;4.3972;3.1818;4.2562;18037.0;4.0495
