;tagCreatedOn;projectCreatedOn;projectMonths;stars;contributors;NEBTM;NTM;NEBTM/NTM;NADTE;NDTE;NDUE;NEU;NADTE/NDUE;NDTE/NDUE;log10(NTM);log10(NEU);log10(NEBTM);log10(NTM-NEBTM);NTM-NEBTM;log10(stars)
count;63.0;63.0;63.0;63.0;63.0;63.0;63.0;63.0;63.0;63.0;63.0;63.0;63.0;63.0;63.0;63.0;63.0;63.0;63.0;63.0
mean;2018.2222;2012.9841;81.1111;6084.0794;99.1746;272.4127;1960.5556;0.1125;16.9683;12.4603;46.0952;1378.5714;0.3219;0.2236;2.5856;2.6646;1.5156;2.5392;1688.1429;3.4329
std;1.5181;2.02;23.5989;9505.9158;114.6921;608.4642;4037.0838;0.1096;29.329;22.6636;54.1437;2118.5237;0.3373;0.1913;0.9045;0.7428;1.0367;0.8702;3567.6361;0.5418
min;2012.0;2009.0;23.0;198.0;2.0;0.0;2.0;0.0;0.0;0.0;2.0;3.0;0.0;0.0;0.4771;0.6021;0.0;0.6021;2.0;2.2967
25%;2018.0;2012.0;67.5;1194.5;17.0;4.0;124.0;0.0188;1.5;1.0;19.0;150.5;0.0574;0.0574;2.0967;2.1801;0.6901;1.9609;89.5;3.0772
50%;2019.0;2013.0;83.0;2390.0;53.0;40.0;409.0;0.0938;7.0;7.0;36.0;527.0;0.2;0.2;2.6128;2.7226;1.6128;2.5478;351.0;3.3784
75%;2019.0;2014.0;95.0;5427.0;123.0;194.5;1367.0;0.149;20.5;15.0;51.5;1427.0;0.4954;0.345;3.136;3.1535;2.2911;3.1012;1262.0;3.7345
max;2019.0;2018.0;135.0;42047.0;400.0;3462.0;22539.0;0.41;194.0;160.0;374.0;11847.0;1.6053;0.8;4.353;4.0736;3.5395;4.3207;20924.0;4.6237
