;tagCreatedOn;projectCreatedOn;projectMonths;stars;contributors;NEBTM;NTM;NEBTM/NTM;NADTE;NDTE;NDUE;NEU;NADTE/NDUE;NDTE/NDUE;log10(NTM);log10(NEU);log10(NEBTM);log10(NTM-NEBTM);NTM-NEBTM;log10(stars)
count;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0
mean;2018.3333;2014.1667;66.3333;2747.3333;39.1667;20.1667;537.3333;0.0367;3.8333;3.3333;39.0;1304.0;0.1082;0.0978;2.3975;2.4279;0.7873;2.385;517.1667;3.1902
std;0.8165;2.137;24.655;2357.3024;47.1526;41.1554;614.4105;0.0375;6.047;4.8442;37.6829;2640.0283;0.1281;0.107;0.6373;0.8134;0.6858;0.636;588.8061;0.6107
min;2017.0;2011.0;31.0;211.0;2.0;0.0;39.0;0.0;0.0;0.0;11.0;37.0;0.0;0.0;1.6021;1.5798;0.0;1.5911;37.0;2.3243
25%;2018.0;2013.25;53.5;903.75;9.0;2.0;90.25;0.0054;1.0;1.0;12.0;80.5;0.0244;0.0244;1.9484;1.9093;0.4771;1.9276;85.75;2.7488
50%;2018.5;2014.0;67.5;2958.5;13.0;4.0;235.0;0.0286;1.5;1.5;27.5;205.0;0.0556;0.0556;2.325;2.2394;0.6611;2.326;234.0;3.468
75%;2019.0;2015.5;77.75;3403.75;72.5;6.75;1063.75;0.0712;2.75;2.75;46.75;549.25;0.1572;0.1572;2.9701;2.7237;0.8886;2.9431;985.25;3.5319
max;2019.0;2017.0;102.0;6585.0;107.0;104.0;1333.0;0.0797;16.0;13.0;108.0;6674.0;0.3333;0.2708;3.1252;3.8245;2.0212;3.1232;1326.0;3.8186
