;tagCreatedOn;projectCreatedOn;projectMonths;stars;contributors;NEBTM;NTM;NEBTM/NTM;NADTE;NDTE;NDUE;NEU;NADTE/NDUE;NDTE/NDUE;log10(NTM);log10(NEU);log10(NEBTM);log10(NTM-NEBTM);NTM-NEBTM;log10(stars)
count;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0;90.0
mean;2017.9111;2014.2222;66.7889;1759.0222;32.4333;60.6889;617.3333;0.078;5.4222;4.7667;38.7889;1141.6667;0.1146;0.0986;1.9687;2.5261;0.8451;1.9526;556.6444;2.8896
std;1.6051;2.2624;27.1092;2918.431;51.148;241.4238;1814.6087;0.1412;13.6949;12.5305;38.8924;2479.1751;0.1448;0.1278;0.9243;0.7151;0.8247;0.8864;1588.5263;0.5089
min;2011.0;2009.0;11.0;28.0;1.0;0.0;1.0;0.0;0.0;0.0;3.0;8.0;0.0;0.0;0.301;0.9542;0.0;0.4771;1.0;1.4472
25%;2017.0;2013.0;45.25;386.75;5.0;0.0;21.0;0.0;0.0;0.0;14.0;91.0;0.0;0.0;1.3424;1.9637;0.0;1.3617;21.0;2.5874
50%;2019.0;2014.0;65.0;499.0;14.0;4.0;97.0;0.0306;2.0;1.0;27.5;355.0;0.0538;0.0489;1.991;2.5514;0.699;1.9111;79.5;2.6981
75%;2019.0;2016.0;86.75;1382.0;40.5;22.5;520.75;0.0827;6.0;4.75;47.75;1068.5;0.2;0.1579;2.7174;3.0291;1.3708;2.694;492.5;3.1404
max;2019.0;2019.0;125.0;16656.0;359.0;2164.0;15707.0;0.8473;118.0;109.0;257.0;18996.0;0.6667;0.6667;4.1961;4.2787;3.3355;4.1318;13543.0;4.2216
