;tagCreatedOn;projectCreatedOn;projectMonths;stars;contributors;NEBTM;NTM;NEBTM/NTM;NADTE;NDTE;NDUE;NEU;NADTE/NDUE;NDTE/NDUE;log10(NTM);log10(NEU);log10(NEBTM);log10(NTM-NEBTM);NTM-NEBTM;log10(stars)
count;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0
mean;2017.72;2015.68;48.96;1681.02;21.84;39.7;655.1;0.0289;4.9;4.2;31.56;1477.8;0.1248;0.1067;1.4088;2.066;0.4983;1.4547;615.4;2.8137
std;1.3099;2.3599;27.571;2483.8516;48.3758;134.0477;2345.868;0.048;12.2961;10.608;55.891;5766.3816;0.2371;0.2045;1.0397;0.9117;0.8253;0.9777;2216.0733;0.6084
min;2013.0;2008.0;12.0;76.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.301;0.4771;0.0;0.4771;1.0;1.8808
25%;2017.0;2015.0;31.0;203.0;2.0;0.0;2.0;0.0;0.0;0.0;7.0;26.25;0.0;0.0;0.4771;1.4353;0.0;0.6021;2.0;2.3075
50%;2018.0;2016.0;47.0;593.5;4.0;0.0;16.5;0.0;0.0;0.0;12.0;93.0;0.0;0.0;1.2414;1.9727;0.0;1.2657;16.5;2.7734
75%;2019.0;2017.0;55.0;1460.5;13.75;4.5;79.5;0.0388;2.0;2.0;32.0;419.25;0.1608;0.1532;1.9056;2.6227;0.7341;1.8678;71.75;3.1643
max;2019.0;2019.0;137.0;10218.0;200.0;806.0;15077.0;0.1686;65.0;58.0;337.0;37827.0;1.0;1.0;4.1783;4.5778;2.9069;4.1545;14271.0;4.0094
