;tagCreatedOn;projectCreatedOn;projectMonths;stars;contributors;NEBTM;NTM;NEBTM/NTM;NADTE;NDTE;NDUE;NEU;NADTE/NDUE;NDTE/NDUE;log10(NTM);log10(NEU);log10(NEBTM);log10(NTM-NEBTM);NTM-NEBTM;log10(stars)
count;152.0;152.0;152.0;152.0;152.0;152.0;152.0;152.0;152.0;152.0;152.0;152.0;152.0;152.0;152.0;152.0;152.0;152.0;152.0;152.0
mean;2017.5395;2015.2697;53.5987;2750.1184;19.8421;17.9539;275.4803;0.0384;2.5263;2.1974;20.5395;619.4276;0.099;0.0827;1.2875;1.8137;0.3906;1.3274;257.5263;2.978
std;1.4688;1.9799;23.3585;4342.3667;37.3959;79.9861;1379.228;0.0779;7.6893;6.6313;35.78;3373.9216;0.1943;0.1607;0.8529;0.8197;0.6646;0.7934;1302.1387;0.7211
min;2012.0;2008.0;12.0;29.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.301;0.301;0.0;0.4771;1.0;1.4624
25%;2017.0;2014.0;37.0;209.0;2.0;0.0;2.0;0.0;0.0;0.0;6.0;17.0;0.0;0.0;0.4771;1.2553;0.0;0.6021;2.0;2.3201
50%;2018.0;2016.0;49.5;1459.5;6.0;0.0;10.0;0.0;0.0;0.0;10.0;55.5;0.0;0.0;1.0414;1.752;0.0;1.0603;9.5;3.1642
75%;2019.0;2017.0;67.0;3210.25;17.25;3.0;67.5;0.0427;2.0;1.25;23.25;233.5;0.1333;0.1233;1.8357;2.3701;0.6021;1.8277;65.25;3.5065
max;2019.0;2019.0;137.0;28578.0;200.0;806.0;15077.0;0.4815;65.0;58.0;337.0;37827.0;1.0;1.0;4.1783;4.5778;2.9069;4.1545;14271.0;4.456
