;tagCreatedOn;projectCreatedOn;projectMonths;stars;contributors;NEBTM;NTM;NEBTM/NTM;NADTE;NDTE;NDUE;NEU;NADTE/NDUE;NDTE/NDUE;log10(NTM);log10(NEU);log10(NEBTM);log10(NTM-NEBTM);NTM-NEBTM;log10(stars)
count;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0
mean;2018.3205;2013.8462;70.641;2920.8333;43.5385;119.1538;1122.5897;0.0727;10.641;8.9103;50.9231;1483.1923;0.1844;0.1437;2.3152;2.7402;1.1183;2.2992;1003.4359;3.2178
std;1.2006;2.4499;28.3805;4631.8606;57.1275;330.3467;2624.1111;0.1233;15.9975;13.9444;46.6835;3495.7448;0.1949;0.1494;0.9002;0.6;0.9481;0.868;2327.6503;0.4099
min;2013.0;2009.0;13.0;222.0;1.0;0.0;1.0;0.0;0.0;0.0;3.0;34.0;0.0;0.0;0.301;1.5441;0.0;0.301;0.0;2.3464
25%;2018.0;2012.0;49.25;780.75;10.0;1.0;48.5;0.009;0.25;0.0;22.25;219.25;0.0037;0.0;1.6897;2.3426;0.301;1.6969;48.25;2.8925
50%;2019.0;2014.0;68.5;1347.0;24.0;9.5;256.0;0.04;4.0;3.0;37.0;540.5;0.1213;0.0984;2.4097;2.7335;1.0207;2.3775;236.5;3.1294
75%;2019.0;2016.0;93.75;2708.0;58.75;64.75;812.75;0.0953;13.75;10.75;57.25;1402.5;0.2818;0.2142;2.9105;3.1471;1.8149;2.8732;744.75;3.4321
max;2019.0;2019.0;127.0;29258.0;352.0;2111.0;16699.0;1.0;77.0;65.0;252.0;28844.0;0.7391;0.5778;4.2227;4.4601;3.3247;4.1641;14588.0;4.4662
