;tagCreatedOn;projectCreatedOn;projectMonths;stars;contributors;NEBTM;NTM;NEBTM/NTM;NADTE;NDTE;NDUE;NEU;NADTE/NDUE;NDTE/NDUE;log10(NTM);log10(NEU);log10(NEBTM);log10(NTM-NEBTM);NTM-NEBTM;log10(stars)
count;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0
mean;2017.65;2015.0;57.0333;5026.9;27.25;11.2167;134.9833;0.0429;2.0167;1.7833;14.1833;207.9667;0.1268;0.101;1.422;1.609;0.4553;1.4469;123.7667;3.5508
std;1.5385;1.5404;17.8173;5631.4034;36.9152;28.2411;330.5727;0.0702;4.0901;3.518;19.3141;733.8133;0.2012;0.1543;0.79;0.7635;0.6504;0.7309;305.5477;0.3266
min;2014.0;2011.0;26.0;913.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.301;0.301;0.0;0.4771;1.0;2.9605
25%;2017.0;2014.0;43.0;2301.25;6.75;0.0;4.0;0.0;0.0;0.0;4.75;13.0;0.0;0.0;0.699;1.1461;0.0;0.7782;4.0;3.362
50%;2018.0;2015.0;54.0;2890.0;13.0;0.0;22.5;0.0;0.0;0.0;9.0;38.0;0.0;0.0;1.371;1.5898;0.0;1.3891;22.5;3.4605
75%;2019.0;2016.0;70.25;5286.0;32.25;6.75;96.75;0.0686;2.0;2.0;17.0;138.5;0.2331;0.2044;1.9901;2.1445;0.8838;1.9731;92.0;3.7231
max;2019.0;2018.0;100.0;28578.0;166.0;144.0;1922.0;0.2626;17.0;14.0;130.0;5602.0;1.0;0.75;3.284;3.7484;2.1614;3.2504;1778.0;4.456
