;tagCreatedOn;projectCreatedOn;projectMonths;stars;contributors;NEBTM;NTM;NEBTM/NTM;NADTE;NDTE;NDUE;NEU;NADTE/NDUE;NDTE/NDUE;log10(NTM);log10(NEU);log10(NEBTM);log10(NTM-NEBTM);NTM-NEBTM;log10(stars)
count;35.0;35.0;35.0;35.0;35.0;35.0;35.0;35.0;35.0;35.0;35.0;35.0;35.0;35.0;35.0;35.0;35.0;35.0;35.0;35.0
mean;2017.9429;2013.1429;78.8;6055.1714;78.5143;259.0286;1936.4571;0.1132;12.0286;8.7714;33.4286;1072.5429;0.3258;0.2378;2.6009;2.5864;1.4839;2.5499;1677.4286;3.4897
std;1.8302;1.9272;22.3064;9362.9835;90.1239;661.2747;4430.9321;0.1132;14.9558;9.3591;28.297;1452.1984;0.3282;0.2044;0.7965;0.7629;1.0025;0.7695;3981.7122;0.4524
min;2012.0;2009.0;23.0;977.0;2.0;0.0;6.0;0.0;0.0;0.0;2.0;3.0;0.0;0.0;0.8451;0.6021;0.0;0.9031;6.0;2.9899
25%;2018.0;2012.0;67.0;1361.0;18.5;6.0;139.5;0.0198;1.5;1.5;16.5;150.5;0.1194;0.1011;2.1472;2.1801;0.8406;2.0966;123.0;3.1326
50%;2019.0;2013.0;77.0;2390.0;36.0;35.0;391.0;0.0965;8.0;7.0;26.0;515.0;0.2143;0.2;2.5933;2.7126;1.5563;2.5465;350.0;3.3784
75%;2019.0;2014.0;89.5;4655.5;101.0;151.5;971.0;0.1451;15.5;13.5;41.5;1206.5;0.4328;0.3328;2.9842;3.0811;2.1725;2.928;847.5;3.6626
max;2019.0;2018.0;131.0;40557.0;400.0;3462.0;22539.0;0.41;70.0;41.0;122.0;5998.0;1.25;0.8;4.353;3.7781;3.5395;4.3207;20924.0;4.6081
