;tagCreatedOn;projectCreatedOn;projectMonths;stars;contributors;NEBTM;NTM;NEBTM/NTM;NADTE;NDTE;NDUE;NEU;NADTE/NDUE;NDTE/NDUE;log10(NTM);log10(NEU);log10(NEBTM);log10(NTM-NEBTM);NTM-NEBTM;log10(stars)
count;202.0;202.0;202.0;202.0;202.0;202.0;202.0;202.0;202.0;202.0;202.0;202.0;202.0;202.0;202.0;202.0;202.0;202.0;202.0;202.0
mean;2018.1535;2013.8366;71.3168;2321.5644;42.604;91.1386;896.9554;0.0802;8.7772;7.3366;46.4059;1426.9109;0.1668;0.1361;2.1909;2.6572;1.0364;2.1699;805.8168;3.0843
std;1.4146;2.3811;28.2214;3604.3849;61.4267;282.6421;2440.7312;0.1289;16.0641;13.8044;50.767;3277.0261;0.1913;0.1582;0.8994;0.6743;0.8944;0.8674;2184.4473;0.4707
min;2011.0;2009.0;11.0;28.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;8.0;0.0;0.0;0.301;0.9542;0.0;0.301;0.0;1.4472
25%;2018.0;2012.0;50.25;508.0;8.25;0.0;29.25;0.0;0.0;0.0;18.0;157.5;0.0;0.0;1.4807;2.2;0.0;1.4948;29.25;2.7059
50%;2019.0;2014.0;69.5;1091.0;21.0;7.0;194.5;0.0402;3.0;2.0;34.0;480.5;0.102;0.0898;2.2911;2.6826;0.9031;2.2565;178.5;3.0378
75%;2019.0;2016.0;95.0;2368.75;48.0;42.5;692.5;0.096;8.0;7.0;54.5;1315.25;0.25;0.2083;2.8407;3.1193;1.6384;2.7677;583.75;3.3742
max;2019.0;2019.0;130.0;29258.0;359.0;2164.0;19556.0;1.0;118.0;109.0;460.0;28844.0;1.0;1.0;4.2913;4.4601;3.3355;4.2562;18037.0;4.4662
