;tagCreatedOn;projectCreatedOn;projectMonths;stars;contributors;NEBTM;NTM;NEBTM/NTM;NADTE;NDTE;NDUE;NEU;NADTE/NDUE;NDTE/NDUE;log10(NTM);log10(NEU);log10(NEBTM);log10(NTM-NEBTM);NTM-NEBTM;log10(stars)
count;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0;22.0
mean;2018.6364;2012.4091;88.8182;7040.0909;148.4091;362.5;2387.0455;0.1321;28.4091;20.8182;68.1818;1885.7727;0.3741;0.2355;2.6125;2.8536;1.7648;2.5643;2024.5455;3.4089
std;0.9535;2.0391;23.6716;10926.4236;144.4885;598.0708;3933.3045;0.1111;44.0645;35.3468;78.9156;2783.8255;0.3764;0.1807;1.1315;0.6822;1.1026;1.0832;3363.9994;0.651
min;2015.0;2009.0;24.0;198.0;2.0;0.0;2.0;0.0;0.0;0.0;4.0;35.0;0.0;0.0;0.4771;1.5563;0.0;0.6021;2.0;2.2967
25%;2019.0;2011.25;73.5;968.5;36.0;10.25;82.25;0.0428;3.0;2.25;31.25;401.5;0.0657;0.0657;1.902;2.6023;1.0079;1.8279;66.0;2.9855
50%;2019.0;2012.0;90.5;1847.0;98.0;79.5;1163.0;0.1104;12.0;9.5;46.0;621.0;0.342;0.2592;3.0646;2.7932;1.9057;2.939;867.0;3.2641
75%;2019.0;2013.75;101.25;8311.0;266.5;410.5;2580.5;0.1814;28.25;19.75;75.5;2579.75;0.5561;0.3824;3.4119;3.4063;2.6142;3.3791;2395.5;3.9192
max;2019.0;2018.0;135.0;42047.0;393.0;2329.0;16924.0;0.3438;194.0;160.0;374.0;11847.0;1.6053;0.5789;4.2285;4.0736;3.3674;4.1643;14595.0;4.6237
